poll_media_mention_id,feed_id,query,source_name,article_title,article_url,published_at,detected_at,possible_institute,review_priority,poll_relevance_label,candidate_level_values_extracted,review_decision,review_notes
poll_media_mention_aa0abd1bc2407028,poll_media_presidentielle_2027_sondage,"""presidentielle 2027"" sondage when:90d",Ipsos,Présidentielle 2027 : le retour du vote sur enjeux ? - Ipsos,https://news.google.com/rss/articles/CBMiggFBVV95cUxPTXZiSFBtbHRZMkVReU53cXBJNjJqZEROR3dseFQwR05QeE42ODNBZTktWUF2QmVLdXQxSG1GMml1bG5hQzdzaUVHM0VsM0dpdWdVMF9oUzdUZVJqRzhOSEQwSDZiYldaN1VtbW9iZU81LUZ2VWFRRnJIUDFWRUlZMWNB?oc=5,2026-04-13T07:00:00Z,2026-06-29T09:48:11Z,Ipsos,high,likely_poll_media_mention,false,promote_to_metadata_review,"Manual review 2026-06-29: relevant media-discovery pointer. Use only to locate official notice, pollster publication, or legally safe primary source before metadata review. No article scraping and no candidate-level values extracted."
poll_media_mention_66d8fd321c9f73fb,poll_media_second_tour_2027,"""second tour"" ""presidentielle 2027"" sondage when:90d",franceinfo,"Présidentielle 2027 : s'en remettre aux sondages révèle ""une forme d'impuissance du politique à dégager des personnalités qui font consensus"", note Christelle Craplet, directrice opinion Ipsos-BVA - franceinfo",https://news.google.com/rss/articles/CBMi7wJBVV95cUxNRzdIaXEyQThKaGo4dXViMVVySkp3OGRBejlFc2t6ck5kd3R1M1Q2MExDS0ZuRlNoNlJNbnE3Yl9qZHFhWmlyWXZUWGdocFRONVo5eFRud1o5OVpWVjVRUXZ0VUR1cVlVTElKTjVEOUdvb3UybGZ1ZHdkeE9TNU1NWDkwWVhYUmdFZzU4ZmNTbnhpLUh,2026-04-29T07:00:00Z,2026-06-29T09:48:11Z,Ipsos; BVA,high,likely_poll_media_mention,false,promote_to_metadata_review,"Manual review 2026-06-29: relevant media-discovery pointer. Use only to locate official notice, pollster publication, or legally safe primary source before metadata review. No article scraping and no candidate-level values extracted."
poll_media_mention_fc63497f97f6788b,poll_media_presidentielle_2027_sondage,"""presidentielle 2027"" sondage when:90d",tolunacorporate.com,Intentions de vote à l’élection présidentielle 2027 - tolunacorporate.com,https://news.google.com/rss/articles/CBMihgFBVV95cUxPQkVIQ05ZZ1R1bGFhVlRtc3hWMzFfS2ZMTzFxNVBxTUt1YmVKLWFDcU9rOEJOalJ6SlZZUzB0dDNKTjQ1M3czMXFWWDNKc2hFWlBaTUFhU29GZlBmTjhBY1VoaTVUOUViMnpYb1MyVHB6MXRGdEM4Z1FPUjMtWkhuOUtFazVTZw?oc=5,2026-05-04T07:00:00Z,2026-06-29T09:48:11Z,Toluna,high,likely_poll_media_mention,false,promote_to_metadata_review,"Manual review 2026-06-29: relevant media-discovery pointer. Use only to locate official notice, pollster publication, or legally safe primary source before metadata review. No article scraping and no candidate-level values extracted."
poll_media_mention_417dc7dd031cced1,poll_media_second_tour_2027,"""second tour"" ""presidentielle 2027"" sondage when:90d",CNews,"Présidentielle 2027 : le RN largement en tête, Gabriel Attal progresse mais reste derrière Edouard Philippe selon un sondage - CNews",https://news.google.com/rss/articles/CBMiuAFBVV95cUxOR3lfQzZPMVBpVW1zQTVweDdsZnBEZlR5c3VWaGtpb2k1UlYtb3MzbjhXb2JHUmxqbjBUQWphNXRucmFPZms1SFJqVm1oajRrZTA0ZnA1U3RLZzhIMXZPMlVaX1RkSDk0aWhIX24yc0NIUjVkWEY3V3pSSnNZU2xrWGZJb3dPd3ExSG1XcEwxOWtadUN,2026-05-29T07:00:00Z,2026-06-29T09:48:11Z,BVA,high,likely_poll_media_mention,false,promote_to_metadata_review,"Manual review 2026-06-29: relevant media-discovery pointer. Use only to locate official notice, pollster publication, or legally safe primary source before metadata review. No article scraping and no candidate-level values extracted."
poll_media_mention_a3cb622aad320cda,poll_media_second_tour_2027,"""second tour"" ""presidentielle 2027"" sondage when:90d",tolunacorporate.com,Intentions de vote à l’élection présidentielle 2027 - tolunacorporate.com,https://news.google.com/rss/articles/CBMiigFBVV95cUxOVEFRQkt1OXhvblRLaVFxWUt4bjNvOEVMOVZvNE9Mekg0X3RHMFJrczEwQ0RNZmV3MDdJYm1vUW5sWWpjZWtBdmRQNlpldGtQbFJZaW5Gb2ZEdVBqUU9VSkhmMzVjd3RGTTc5eUpHd1JVMGJNMi1vaTNYbXROTlVZaC13R3NLM0dHOGc?oc=5,2026-05-29T07:00:00Z,2026-06-29T09:48:11Z,Toluna,high,likely_poll_media_mention,false,promote_to_metadata_review,"Manual review 2026-06-29: relevant media-discovery pointer. Use only to locate official notice, pollster publication, or legally safe primary source before metadata review. No article scraping and no candidate-level values extracted."
poll_media_mention_ab2ba3c21c5d2ff5,poll_media_presidentielle_2027_sondage,"""presidentielle 2027"" sondage when:90d",Ipsos,Présidentielle 2027 : les candidats du Rassemblement National largement en tête au premier tour - Ipsos,https://news.google.com/rss/articles/CBMivgFBVV95cUxPU2w2cVBXbWY2ZS1uQ3BEYnlBTXlhTXFjWng4Zy05dW1vZE8zNDg0dDZkcVdOWXY2cEswSHFab3hWdVBTbmtqME9za1FzT3ppa3FoTEgwUjY5NlFpZExVelR3ckpxYy1UWlhNRTZENTJmREctX1FYZ2hoeDkwMzQ3ZzRhMjd6TFc0bjAtMzhpaUplMnd,2026-06-01T07:00:00Z,2026-06-29T09:48:11Z,Ipsos,high,likely_poll_media_mention,false,promote_to_metadata_review,"Manual review 2026-06-29: relevant media-discovery pointer. Use only to locate official notice, pollster publication, or legally safe primary source before metadata review. No article scraping and no candidate-level values extracted."
poll_media_mention_ab75e943317c561a,poll_media_presidentielle_2027_sondage,"""presidentielle 2027"" sondage when:90d",ladepeche.fr,Présidentielle 2027 : vers un record de candidatures - ladepeche.fr,https://news.google.com/rss/articles/CBMioAFBVV95cUxQVTZNRUxPRVNwdlhxRnJYRk1XdHBVY1NUTXR5QWlLUFJfVEJzMnltNUtmeW9fbVA5VkwtZVU0UUVVQUlIeFV2R09yZDl4bzJzZFlQLUpabjc2X214VTVCVHZFZE4xOXZObS1IVG5HUndOQkF4Q2FmQTBWbHM4M0xMRV9VUFBERlBueWRrbG9aTHRPcVp,2026-06-01T07:00:00Z,2026-06-29T09:48:11Z,BVA,high,likely_poll_media_mention,false,promote_to_metadata_review,"Manual review 2026-06-29: relevant media-discovery pointer. Use only to locate official notice, pollster publication, or legally safe primary source before metadata review. No article scraping and no candidate-level values extracted."
poll_media_mention_47f12d4f2178538f,poll_media_presidentielle_2027_sondage,"""presidentielle 2027"" sondage when:90d",TF1+,Présidentielle 2027 : et si les sondages ne servaient à rien ? - Quotidien - TF1+,https://news.google.com/rss/articles/CBMiygFBVV95cUxPclUxdElfLVg3akdQT0g2UkNxTmQ5NkN2VEUxMXU2c3hYRG5uSGhLbXR0b0lFUzljejlvUGREUTBwSzJVbXYwSEZ6Z1QtR3BUNldXdTBmR0ZxUmw4MGNZUWg0dEh0MjJUVk4xbWpVYUp3SzQzQ3dVOXBwa09ldnRKaWkwemxWQXpIZ1picXlKV2ZPdUh,2026-04-03T07:00:00Z,2026-06-29T09:48:11Z,,medium,possible_poll_media_mention,false,pending,
poll_media_mention_55baa38bbf2459ca,poll_media_second_tour_2027,"""second tour"" ""presidentielle 2027"" sondage when:90d",ladepeche.fr,Présidentielle 2027 : un second tour Jordan Bardella / Jean-Luc Mélenchon ? Pourquoi la victoire des extrêmes n’est pas une fatalité - ladepeche.fr,https://news.google.com/rss/articles/CBMihAJBVV95cUxPN0x1eHZFemtWTll4SGlvSjRLZUc4RllKUm9fajdMNzZZN2Z5ampJQXZMeXAwbU55X0NCYWJ1a1RoS3B3eHpVWjRpYVRVaDBpcGlFRVhSMXVTNGFmMzhIRFQ1a3c0RnVadmtCc01zbVY2MFZ2T0JhNGtOMzRrMnVZdVNVNlB5MUU3elM4UF9hQmhNWTB,2026-04-05T07:00:00Z,2026-06-29T09:48:11Z,,medium,possible_poll_media_mention,false,pending,
poll_media_mention_6eb8e537d0fb0f06,poll_media_intention_vote_2027,"""intention de vote"" ""presidentielle 2027"" when:90d",L'Union,"Présidentielle 2027 : toujours plus haut dans les sondages, le RN est-il surcoté ? - L'Union",https://news.google.com/rss/articles/CBMixgFBVV95cUxOWXNWQ2g0X2Z6NGY1a08xcmc1Z1lCY3phS3hkcUdpeV92WUxmNldYaWRKSlg0Zk5WOUtvSlJhb3RZa2lxNkhMMVhEZ0tPemUxeHJKYWVyekdqYzUzUFVMamlKcS1qbHdUSWhZemI0WUMxMTI4QW9rdDN3QTFlaG1kYXRSbzNIbzgtLVBKbUQxU2N5ek1,2026-04-12T07:00:00Z,2026-06-29T09:48:11Z,,medium,possible_poll_media_mention,false,pending,
