poll_notice_stage_id,feed_id,source_id,source_name,source_page_url,notice_url,link_text,detected_at,http_status,content_type,page_title,match_reason,candidate_level_values_extracted,review_decision,review_notes,triage_label,triage_reason,review_priority,suggested_metadata_scope,ready_for_canonical_metadata
poll_notice_stage_adde6c08f1fff195,feed_commission_sondages_notices,src_commission_sondages,Commission des sondages,https://www.commission-des-sondages.fr/notices/,https://www.commission-des-sondages.fr/hist/communiques/communique-sondages-elections-presidentielles-15-avril-2026.htm,"voir le communiqué du 15 avril 2026, ici.",2026-06-29T04:30:21Z,200,text/html; charset=UTF-8,"Commission des sondages (contrôle, interdiction, publication)",official_presidential_polling_communique,false,pending,Staged poll-notice discovery only. No candidate-level values extracted.,official_communique,Official Commission des sondages communiqué related to presidential polling.,medium,official_document_or_polling_context,review_required
poll_notice_stage_a312711c5f721b43,feed_commission_sondages_notices,src_commission_sondages,Commission des sondages,https://www.commission-des-sondages.fr/notices/,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2047,10059 Pres bloc central droite ELABE BFMTV 28 janvier,2026-06-29T04:30:21Z,200,text/html; charset=UTF-8,"Commission des sondages (contrôle, interdiction, publication)",commission_notice_file_path|presidential_link_text,false,pending,Staged poll-notice discovery only. No candidate-level values extracted.,candidate_or_field_context_notice,"Visible notice text mentions candidates, party field, primary, RN, right/centre-right, or presidential field context.",medium,polling_context_or_metadata_candidate,review_required
poll_notice_stage_ee6453359d155341,feed_commission_sondages_notices,src_commission_sondages,Commission des sondages,https://www.commission-des-sondages.fr/notices/,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2176,10174 Pres Barometre confiance TOLUNA HARRIS INTERACTIVE LCI 24 avril,2026-06-29T04:30:21Z,200,text/html; charset=UTF-8,"Commission des sondages (contrôle, interdiction, publication)",commission_notice_file_path|presidential_link_text,false,pending,Staged poll-notice discovery only. No candidate-level values extracted.,political_barometer_context_notice,"Visible notice text suggests political barometer, popularity, confidence, or public-opinion context rather than direct voting intention.",low,polling_context_only,false
poll_notice_stage_8f734d6fc7b6f3fc,feed_commission_sondages_notices,src_commission_sondages,Commission des sondages,https://www.commission-des-sondages.fr/notices/,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2201,10199 Pres Barometre politique YOUGOV Huffpost 7 juin,2026-06-29T04:30:21Z,200,text/html; charset=UTF-8,"Commission des sondages (contrôle, interdiction, publication)",commission_notice_file_path|presidential_link_text,false,pending,Staged poll-notice discovery only. No candidate-level values extracted.,political_barometer_context_notice,"Visible notice text suggests political barometer, popularity, confidence, or public-opinion context rather than direct voting intention.",low,polling_context_only,false
poll_notice_stage_3fe0405a918e0bce,feed_commission_sondages_notices,src_commission_sondages,Commission des sondages,https://www.commission-des-sondages.fr/notices/medias/fichiers/bytag/14/2027-Presidentielle,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/1871,9898 Pres Ifop Valeurs actuelles 29 janvier,2026-06-29T04:30:21Z,200,text/html; charset=UTF-8,"Commission des sondages (contrôle, interdiction, publication)",commission_notice_file_path|presidential_link_text|source_page_2027_presidentielle_tag,false,pending,Staged poll-notice discovery only. No candidate-level values extracted.,needs_manual_review,"Presidential-looking notice, but text is not specific enough for automatic classification.",medium,manual_review,review_required
poll_notice_stage_c569d15f05c2bc39,feed_commission_sondages_notices,src_commission_sondages,Commission des sondages,https://www.commission-des-sondages.fr/notices/medias/fichiers/bytag/14/2027-Presidentielle,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/1875,9902 Pres primaire Odoxa Figaro Backbone 13 fevrier 2025,2026-06-29T04:30:21Z,200,text/html; charset=UTF-8,"Commission des sondages (contrôle, interdiction, publication)",commission_notice_file_path|presidential_link_text|source_page_2027_presidentielle_tag,false,pending,Staged poll-notice discovery only. No candidate-level values extracted.,candidate_or_field_context_notice,"Visible notice text mentions candidates, party field, primary, RN, right/centre-right, or presidential field context.",medium,polling_context_or_metadata_candidate,review_required
poll_notice_stage_47d238214aefe0ea,feed_commission_sondages_notices,src_commission_sondages,Commission des sondages,https://www.commission-des-sondages.fr/notices/medias/fichiers/bytag/14/2027-Presidentielle,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/1878,9905 Pres Harris Interactive candidature entrepreneur frst capital 7 fevrier,2026-06-29T04:30:21Z,200,text/html; charset=UTF-8,"Commission des sondages (contrôle, interdiction, publication)",commission_notice_file_path|presidential_link_text|source_page_2027_presidentielle_tag,false,pending,Staged poll-notice discovery only. No candidate-level values extracted.,candidate_or_field_context_notice,"Visible notice text mentions candidates, party field, primary, RN, right/centre-right, or presidential field context.",medium,polling_context_or_metadata_candidate,review_required
poll_notice_stage_393679a1555efcec,feed_commission_sondages_notices,src_commission_sondages,Commission des sondages,https://www.commission-des-sondages.fr/notices/medias/fichiers/bytag/14/2027-Presidentielle,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/1879,9906 pres IFOP Sud radio Le Figaro 28 fevrier,2026-06-29T04:30:21Z,200,text/html; charset=UTF-8,"Commission des sondages (contrôle, interdiction, publication)",commission_notice_file_path|presidential_link_text|source_page_2027_presidentielle_tag,false,pending,Staged poll-notice discovery only. No candidate-level values extracted.,needs_manual_review,"Presidential-looking notice, but text is not specific enough for automatic classification.",medium,manual_review,review_required
poll_notice_stage_04f63b85d4c5dc88,feed_commission_sondages_notices,src_commission_sondages,Commission des sondages,https://www.commission-des-sondages.fr/notices/medias/fichiers/bytag/14/2027-Presidentielle,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/1886,9912 Pres Ifop JDD 30 mars,2026-06-29T04:30:21Z,200,text/html; charset=UTF-8,"Commission des sondages (contrôle, interdiction, publication)",commission_notice_file_path|presidential_link_text|source_page_2027_presidentielle_tag,false,pending,Staged poll-notice discovery only. No candidate-level values extracted.,needs_manual_review,"Presidential-looking notice, but text is not specific enough for automatic classification.",medium,manual_review,review_required
poll_notice_stage_90f3da735fe1dc15,feed_commission_sondages_notices,src_commission_sondages,Commission des sondages,https://www.commission-des-sondages.fr/notices/medias/fichiers/bytag/14/2027-Presidentielle,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/1887,9913 Pres Toluna Harris Interactive RTL 1er avril,2026-06-29T04:30:21Z,200,text/html; charset=UTF-8,"Commission des sondages (contrôle, interdiction, publication)",commission_notice_file_path|presidential_link_text|source_page_2027_presidentielle_tag,false,pending,Staged poll-notice discovery only. No candidate-level values extracted.,needs_manual_review,"Presidential-looking notice, but text is not specific enough for automatic classification.",medium,manual_review,review_required
